item_order,participantID,age,sex,list,itemID,item,is_correct,response,correctness,answeing_time,target_sentence_position,number_of_propositions,condition,plausibility,arithmetic,task,r10_equationID,r10_response,r10_rt,r20_equationID,r20_response,r20_rt,r30_equationID,r30_response,r30_rt,r40_equationID,r40_response,r40_rt,comment,r10_is_correct,r10_correctness,r20_is_correct,r20_correctness,r30_is_correct,r30_correctness,r40_is_correct,r40_correctness,eq_acc_trial,eq_n_trial
77,40438253,59,female,G,12422,422,F,F,1,7919,first,three,BenefactiveFor,implausible,1digit_2addition,dual,x8765,36490,55749,x8766,87660,16653,x8767,52602,37132,*,NA,NA,NULL,6,0,10,0,6,0,NA,NA,0,3
49,40438253,59,female,G,7982,142,J,J,1,3119,first,three,Passive,implausible,1digit_2addition,single,bodyguard,NA,NA,*,NA,NA,*,NA,NA,*,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
48,40438253,59,female,G,7981,141,J,J,1,3001,first,three,Passive,implausible,1digit_2addition,noisy-single,x1201,NA,NA,x1202,NA,NA,x1203,NA,NA,*,NA,NA,NULL,6,NA,7,NA,8,NA,NA,NA,NA,0
82,40438253,59,female,G,12481,481,F,F,1,3482,first,three,ExperienerSubject,plausible,1digit_2addition,single,the,NA,NA,*,NA,NA,*,NA,NA,*,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
72,40438253,59,female,G,8461,381,J,J,1,7669,first,three,BenefactiveDoubleObjectConstruction,implausible,1digit_2addition,noisy-single,x3141,NA,NA,x3142,NA,NA,x3143,NA,NA,*,NA,NA,NULL,15,NA,3,NA,9,NA,NA,NA,NA,0
45,40438253,59,female,G,11702,102,F,F,1,8652,first,three,Passive,plausible,1digit_2addition,noisy-single,x5865,NA,NA,x5866,NA,NA,x5867,NA,NA,*,NA,NA,NULL,8,NA,4,NA,14,NA,NA,NA,NA,0
80,40438253,59,female,G,12381,461,F,F,1,6378,second,three,BenefactiveFor,plausible,1digit_2addition,dual,x8601,86021,33410,x8602,95622,27866,x8603,68824,29225,*,NA,NA,NULL,11,0,17,0,8,0,NA,NA,0,3
62,40438253,59,female,G,8201,281,J,J,1,3621,third,three,DativeConstruction,plausible,1digit_2addition,dual,x2081,14972,30313,x2082,4164,29754,x2083,221813,52973,*,NA,NA,NULL,9,0,2,0,10,0,NA,NA,0,3
35,40438253,59,female,G,7762,2,J,F,0,5158,second,three,Transitive,implausible,1digit_2addition,dual,x325,2275,19289,x326,978,23478,x327,3924,48455,*,NA,NA,NULL,7,0,3,0,12,0,NA,NA,0,3
84,40438253,59,female,G,8741,501,J,J,1,3136,third,three,ExperienerSubject,implausible,1digit_2addition,noisy-single,x4261,NA,NA,x4262,NA,NA,x4263,NA,NA,*,NA,NA,NULL,15,NA,9,NA,8,NA,NA,NA,NA,0
92,40438253,59,female,G,12661,581,F,J,0,4732,first,three,ExperienerObject,plausible,1digit_2addition,dual,x9721,136094,36483,x9722,174996,23598,x9723,97230,9587,*,NA,NA,NULL,14,0,18,0,10,0,NA,NA,0,3
38,40438253,59,female,G,7721,41,J,J,1,5515,third,three,Transitive,plausible,1digit_2addition,dual,x161,2254,15844,x162,13632,16353,x163,1630,10948,*,NA,NA,NULL,14,0,16,0,10,0,NA,NA,0,3
37,40438253,59,female,G,7782,22,J,J,1,3278,third,three,Transitive,implausible,1digit_2addition,single,the,NA,NA,*,NA,NA,*,NA,NA,*,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
66,40438253,59,female,G,12241,321,F,F,1,4676,first,three,BenefactiveDoubleObjectConstruction,implausible,1digit_2addition,noisy-single,x8041,NA,NA,x8042,NA,NA,x8043,NA,NA,*,NA,NA,NULL,18,NA,10,NA,14,NA,NA,NA,NA,0
41,40438253,59,female,G,11662,62,F,F,1,4404,second,three,Transitive,implausible,1digit_2addition,dual,x5705,45640,29682,x5706,68442,32001,x5707,52707,23928,*,NA,NA,NULL,8,0,12,0,11,0,NA,NA,0,3
39,40438253,59,female,G,7722,42,J,J,1,2747,third,three,Transitive,plausible,1digit_2addition,noisy-single,x165,NA,NA,x166,NA,NA,x167,NA,NA,*,NA,NA,NULL,7,NA,4,NA,6,NA,NA,NA,NA,0
85,40438253,59,female,G,8742,502,J,F,0,3747,third,three,ExperienerSubject,implausible,1digit_2addition,single,the,NA,NA,*,NA,NA,*,NA,NA,*,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
93,40438253,59,female,G,12662,582,F,F,1,5087,first,three,ExperienerObject,plausible,1digit_2addition,noisy-single,x9725,NA,NA,x9726,NA,NA,x9727,NA,NA,*,NA,NA,NULL,9,NA,18,NA,13,NA,NA,NA,NA,0
96,40438253,59,female,G,8941,621,J,J,1,3525,first,three,ExperienerObject,implausible,1digit_2addition,noisy-single,x5061,NA,NA,x5062,NA,NA,x5063,NA,NA,*,NA,NA,NULL,15,NA,8,NA,13,NA,NA,NA,NA,0
63,40438253,59,female,G,8202,282,J,J,1,2592,third,three,DativeConstruction,plausible,1digit_2addition,noisy-single,x2085,NA,NA,x2086,NA,NA,x2087,NA,NA,*,NA,NA,NULL,12,NA,10,NA,16,NA,NA,NA,NA,0
71,40438253,59,female,G,8442,362,J,J,1,2525,third,three,BenefactiveDoubleObjectConstruction,implausible,1digit_2addition,dual,x3065,36780,29164,x3066,30660,9721,x3067,30670,9376,*,NA,NA,NULL,12,0,10,0,10,0,NA,NA,0,3
