Group,ItemID,Context,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,Question,Correct_answer,Target_sentence_position,Number_of_propositions,Condition,Plausibility,Item,Arithmetic,Task
A,7681,The mechanic assembled the engine and the envoy saluted the higher-ups but the scoundrel encountered the clarinetist.,The,mechanic,assembled,the,engine,and,the,envoy,saluted,the,higher-ups,but,the,scoundrel,encountered,the,clarinetist.,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,Did the mechanic assemble the engine?,J,first,three,Transitive,plausible,1,1digit_2addition,single
A,11602,The 6 conservator + saluted 4 the = diva x5465 and 5 the + wire 1 bent = the x5466 tailor 8 when + the 3 encroacher = extoled x5467 the 7 sophomore.,The,6,conservator,+,saluted,4,the,=,diva,x5465,and,5,the,+,wire,1,bent,=,the,x5466,tailor,8,when,+,the,3,encroacher,=,extoled,x5467,the,7,sophomore.,*,*,*,*,*,*,*,*,Did the tailor bend the wire?,F,second,three,Transitive,implausible,2,1digit_2addition,dual
A,11621,The 9 planner + accosted 4 the = hairstylist x5541 and 3 the + equestrian 3 approved = the x5542 toymaker 5 but + the 6 ball = kicked x5543 the 4 player.,The,9,planner,+,accosted,4,the,=,hairstylist,x5541,and,3,the,+,equestrian,3,approved,=,the,x5542,toymaker,5,but,+,the,6,ball,=,kicked,x5543,the,4,player.,*,*,*,*,*,*,*,*,Did the player kick the ball?,F,third,three,Transitive,implausible,21,1digit_2addition,noisy-single
A,11622,The communist flattered the buyer and the dean rushed the grocer when the door knocked the burglar.,The,communist,flattered,the,buyer,and,the,dean,rushed,the,grocer,when,the,door,knocked,the,burglar.,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,Did the burglar knock on the door?,F,third,three,Transitive,implausible,22,1digit_2addition,single
A,11561,The 2 zoologist + misquoted 7 the = geologist x5301 and 3 the + veterinarian 7 noted = the x5302 toolmaker 7 but + the 3 carpenter = assembled x5303 the 4 bookshelf.,The,2,zoologist,+,misquoted,7,the,=,geologist,x5301,and,3,the,+,veterinarian,7,noted,=,the,x5302,toolmaker,7,but,+,the,3,carpenter,=,assembled,x5303,the,4,bookshelf.,*,*,*,*,*,*,*,*,Did the bookshelf assemble the carpenter?,F,third,three,Transitive,plausible,41,1digit_2addition,dual
A,11562,The 4 chemist + saluted 7 the = jeweler x5305 and 6 the + shopper 9 provoked = the x5306 usurper 2 when + the 8 instructor = bent x5307 the 2 mat.,The,4,chemist,+,saluted,7,the,=,jeweler,x5305,and,6,the,+,shopper,9,provoked,=,the,x5306,usurper,2,when,+,the,8,instructor,=,bent,x5307,the,2,mat.,*,*,*,*,*,*,*,*,Did the mat bend the instructor?,F,third,three,Transitive,plausible,42,1digit_2addition,noisy-single
A,11581,The guy kicked the door and the tenor framed the inventor but the dealer befriended the publisher.,The,guy,kicked,the,door,and,the,tenor,framed,the,inventor,but,the,dealer,befriended,the,publisher.,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,Did the wall kick the guy?,F,first,three,Transitive,plausible,61,1digit_2addition,single
A,7822,The 5 veteran + provoked 8 the = skier x565 and 5 the + door 1 knocked = the x566 student 8 when + the 2 train = cited x567 the 1 commoner.,The,5,veteran,+,provoked,8,the,=,skier,x565,and,5,the,+,door,1,knocked,=,the,x566,student,8,when,+,the,2,train,=,cited,x567,the,1,commoner.,*,*,*,*,*,*,*,*,Did the door knock the student?,J,second,three,Transitive,implausible,62,1digit_2addition,dual
A,7921,The 8 mechanic + was 5 assembled = by x961 the 5 engine + and 1 the = patrolman x962 baffled 5 the + linguist 5 but = the x963 agnostic 5 ignored + the 2 gnome.,The,8,mechanic,+,was,5,assembled,=,by,x961,the,5,engine,+,and,1,the,=,patrolman,x962,baffled,5,the,+,linguist,5,but,=,the,x963,agnostic,5,ignored,+,the,2,gnome.,*,*,*,*,Was the mechanic assembled by the engine?,J,first,three,Passive,implausible,81,1digit_2addition,noisy-single
A,7922,The tailor was bent by the wire and the leper chastised the parent when the sharpshooter signaled the spokesman.,The,tailor,was,bent,by,the,wire,and,the,leper,chastised,the,parent,when,the,sharpshooter,signaled,the,spokesman.,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,Was the tailor bent by the wire?,J,first,three,Passive,implausible,82,1digit_2addition,single
