item_order,participantID,age,sex,list,itemID,item,is_correct,response,correctness,answeing_time,target_sentence_position,number_of_propositions,condition,plausibility,arithmetic,task,r10_equationID,r10_response,r10_rt,r20_equationID,r20_response,r20_rt,r30_equationID,r30_response,r30_rt,r40_equationID,r40_response,r40_rt,comment,r10_is_correct,r10_correctness,r20_is_correct,r20_correctness,r30_is_correct,r30_correctness,r40_is_correct,r40_correctness,eq_acc_trial,eq_n_trial
83,24804720,51,female,B,8642,482,J,J,1,2064,first,three,ExperienerSubject,plausible,1digit_2addition,single_task,the,NA,NA,*,NA,NA,*,NA,NA,*,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
86,24804720,51,female,B,12601,521,F,F,1,1936,first,three,ExperienerSubject,implausible,1digit_2addition,single_task,the,NA,NA,*,NA,NA,*,NA,NA,*,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
43,24804720,51,female,B,7922,82,J,J,1,2866,first,three,Passive,implausible,1digit_2addition,noisy_single_task,x965,NA,NA,x966,NA,NA,x967,NA,NA,*,NA,NA,NULL,13,NA,6,NA,8,NA,NA,NA,NA,0
82,24804720,51,female,B,8641,481,J,J,1,3816,first,three,ExperienerSubject,plausible,1digit_2addition,noisy_single_task,x3861,NA,NA,x3862,NA,NA,x3863,NA,NA,*,NA,NA,NULL,13,NA,10,NA,10,NA,NA,NA,NA,0
85,24804720,51,female,B,12582,502,F,F,1,1710,third,three,ExperienerSubject,implausible,1digit_2addition,noisy_single_task,x9405,NA,NA,x9406,NA,NA,x9407,NA,NA,*,NA,NA,NULL,8,NA,16,NA,8,NA,NA,NA,NA,0
44,24804720,51,female,B,7941,101,J,J,1,3088,second,three,Passive,implausible,1digit_2addition,single_task,kicked,NA,NA,*,NA,NA,*,NA,NA,*,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
63,24804720,51,female,B,12042,282,F,F,1,3114,third,three,DativeConstruction,plausible,1digit_2addition,dual_task,x7225,6,3393,x7226,14,2469,x7227,16,2066,*,NA,NA,NULL,6,1,14,1,16,1,NA,NA,1,3
39,24804720,51,female,B,11562,42,F,F,1,1861,third,three,Transitive,plausible,1digit_2addition,dual_task,x5305,11,3370,x5306,15,2307,x5307,10,3073,*,NA,NA,NULL,11,1,15,1,10,1,NA,NA,1,3
87,24804720,51,female,B,12522,522,F,F,1,1730,third,three,ExperienerSubject,plausible,1digit_2addition,dual_task,x9165,4,2312,x9166,16,2362,x9167,10,2811,*,NA,NA,NULL,4,1,16,1,10,1,NA,NA,1,3
60,24804720,51,female,B,12101,261,F,F,1,3224,third,three,DativeConstruction,implausible,1digit_2addition,dual_task,x7461,11,2825,x7462,7,2253,x7463,11,3269,x7464,8,3600,NULL,11,1,7,1,11,1,8,1,1,4
42,24804720,51,female,B,7921,81,J,J,1,7303,first,three,Passive,implausible,1digit_2addition,dual_task,x961,13,3622,x962,6,3019,x963,10,2841,*,8,3600,NULL,13,1,6,1,10,1,NA,NA,1,3
49,24804720,51,female,B,11822,142,F,F,1,2615,first,three,Passive,implausible,1digit_2addition,noisy_single_task,x6345,NA,NA,x6346,NA,NA,x6347,NA,NA,*,8,3600,NULL,9,NA,14,NA,12,NA,NA,NA,NA,0
48,24804720,51,female,B,11821,141,F,F,1,2453,first,three,Passive,implausible,1digit_2addition,dual_task,x6341,13,2039,x6342,6,1860,x6343,11,2512,*,8,3600,NULL,13,1,6,1,11,1,NA,NA,1,3
41,24804720,51,female,B,11582,62,F,F,1,1864,first,three,Transitive,plausible,1digit_2addition,single_task,the,NA,NA,*,NA,NA,*,NA,NA,*,8,3600,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
35,24804720,51,female,B,7682,2,J,J,1,1628,first,three,Transitive,plausible,1digit_2addition,single_task,the,NA,NA,*,NA,NA,*,NA,NA,*,8,3600,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
37,24804720,51,female,B,11622,22,F,F,1,1607,third,three,Transitive,implausible,1digit_2addition,noisy_single_task,x5545,NA,NA,x5546,NA,NA,x5547,NA,NA,*,8,3600,NULL,12,NA,15,NA,6,NA,NA,NA,NA,0
46,24804720,51,female,B,7881,121,J,J,1,1883,second,three,Passive,plausible,1digit_2addition,noisy_single_task,x801,NA,NA,x802,NA,NA,x803,NA,NA,*,8,3600,NULL,15,NA,11,NA,4,NA,NA,NA,NA,0
89,24804720,51,female,B,12542,542,F,F,1,3530,first,three,ExperienerSubject,plausible,1digit_2addition,single_task,the,NA,NA,*,NA,NA,*,NA,NA,*,8,3600,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
45,24804720,51,female,B,7862,102,J,F,0,3476,first,three,Passive,plausible,1digit_2addition,dual_task,x725,15,2003,x726,11,2083,x727,14,2888,*,8,3600,NULL,15,1,11,1,14,1,NA,NA,1,3
61,24804720,51,female,B,12102,262,F,F,1,4038,third,three,DativeConstruction,implausible,1digit_2addition,noisy_single_task,x7466,NA,NA,x7467,NA,NA,x7468,NA,NA,x7469,8,3600,NULL,9,NA,9,NA,13,NA,5,NA,NA,0
84,24804720,51,female,B,12581,501,F,F,1,2205,third,three,ExperienerSubject,implausible,1digit_2addition,dual_task,x9401,16,2012,x9402,7,1764,x9403,7,3957,*,8,3600,NULL,16,1,7,1,7,1,NA,NA,1,3
36,24804720,51,female,B,11621,21,F,F,1,1359,third,three,Transitive,implausible,1digit_2addition,dual_task,x5541,13,2223,x5542,6,1836,x5543,11,2162,*,8,3600,NULL,13,1,6,1,11,1,NA,NA,1,3
38,24804720,51,female,B,11641,41,F,F,1,1552,first,three,Transitive,implausible,1digit_2addition,single_task,the,NA,NA,*,NA,NA,*,NA,NA,*,8,3600,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
34,24804720,51,female,B,7681,1,J,J,1,1258,first,three,Transitive,plausible,1digit_2addition,noisy_single_task,x1,NA,NA,x2,NA,NA,x3,NA,NA,*,8,3600,NULL,8,NA,6,NA,13,NA,NA,NA,NA,0
