ItemID,Context,Sentence_with_equations,Question,Correct_answer,Target_sentence_position,Number_of_propositions,Condition,Plausibility
7681,The mechanic assembled the engine and the envoy saluted the higher-ups but the scoundrel encountered the clarinetist.,The 7 mechanic + assembled 1 the = engine x1 and 2 the + envoy 4 saluted = the x2 higher-ups 8 but + the 5 scoundrel = encountered x3 the 4 clarinetist.,Did the mechanic assemble the engine?,Yes,first,three,Transitive,plausible
7682,The tailor bent the wire and the entertainer quoted the residents when the forester insulted the messenger.,The 3 tailor + bent 5 the = wire x5 and 3 the + entertainer 7 quoted = the x6 residents 9 when + the 3 forester = insulted x7 the 1 messenger.,Did the tailor bend the wire?,Yes,first,three,Transitive,plausible
7683,The child bit the apple and the zealot humiliated the bassist because the diva misinformed the newscaster.,The 3 child + bit 9 the = apple x9 and 3 the + zealot 8 humiliated = the x10 bassist 8 because + the 4 diva = misinformed x11 the 6 newscaster.,Did the child bite the apple?,Yes,first,three,Transitive,plausible
7684,The chef blended the ingredients and the officer aggravated the foreman after the screenwriter fascinated the encroacher.,The 5 chef + blended 8 the = ingredients x13 and 6 the + officer 8 aggravated = the x14 foreman 1 after + the 2 screenwriter = fascinated x15 the 4 encroacher.,Did the chef blend the ingredients?,Yes,first,three,Transitive,plausible
7685,The sculptor carved the statue but the umpire chastised the salesman and the flora exposed the athlete.,The 1 sculptor + carved 8 the = statue x17 but 9 the + umpire 9 chastised = the x18 salesman 3 and + the 8 flora = exposed x19 the 8 athlete.,Did the sculptor carve the statue?,Yes,first,three,Transitive,plausible
7686,The chef chopped the vegetables but the commuter choked the delinquent when the innovator delighted the residents.,The 8 chef + chopped 3 the = vegetables x21 but 2 the + commuter 3 choked = the x22 delinquent 9 when + the 7 innovator = delighted x23 the 4 residents.,Did the chef chop the vegetables?,Yes,first,three,Transitive,plausible
7687,The cleaner cleaned the floor but the organist spooked the columnist because the impostor defended the kleptomaniac.,The 1 cleaner + cleaned 4 the = floor x25 but 8 the + organist 7 spooked = the x26 columnist 6 because + the 4 impostor = defended x27 the 9 kleptomaniac.,Did the cleaner clean the floor?,Yes,first,three,Transitive,plausible
7688,The collector collected the stamps but the churchgoer betraied the skater after the baroness dismissed the neurologist.,The 2 collector + collected 7 the = stamps x29 but 4 the + churchgoer 7 betraied = the x30 skater 6 after + the 5 baroness = dismissed x31 the 6 neurologist.,Did the collector collect the stamps?,Yes,first,three,Transitive,plausible
7689,The butcher cut the meat when the shepherd teased the patrolman and the illustrator affronted the roadworker.,The 7 butcher + cut 3 the = meat x33 when 5 the + shepherd 1 teased = the x34 patrolman 2 and + the 1 illustrator = affronted x35 the 2 roadworker.,Did the butcher cut the meat?,Yes,first,three,Transitive,plausible
7690,The writer described the landscape when the toolmaker singed the webmaster but the dean screamed the chiseler.,The 2 writer + described 7 the = landscape x37 when 5 the + toolmaker 2 singed = the x38 webmaster 5 but + the 6 dean = screamed x39 the 3 chiseler.,Did the writer describe the landscape?,Yes,first,three,Transitive,plausible
7691,The crew destroyed the building when the monk applauded the executive because the consultant derided the waitress.,The 7 crew + destroyed 2 the = building x41 when 2 the + monk 8 applauded = the x42 executive 1 because + the 8 consultant = derided x43 the 3 waitress.,Did the crew destroy the building?,Yes,first,three,Transitive,plausible
7692,The architect designed the house when the bassist scared the taxpayer after the shopper assuaged the bride.,The 3 architect + designed 5 the = house x45 when 4 the + bassist 4 scared = the x46 taxpayer 8 after + the 8 shopper = assuaged x47 the 1 bride.,Did the architect design the house?,Yes,first,three,Transitive,plausible
7693,The student pushed the cart because the yodeler targeted the flutist and the neighbor distressed the arbitrator.,The 9 student + pushed 7 the = cart x49 because 4 the + yodeler 2 targeted = the x50 flutist 6 and + the 6 neighbor = distressed x51 the 4 arbitrator.,Did the student push the cart?,Yes,first,three,Transitive,plausible
7694,The artist drew the portrait because the warlord disparaged the webmaster but the entomologist targeted the usher.,The 2 artist + drew 4 the = portrait x53 because 7 the + warlord 1 disparaged = the x54 webmaster 4 but + the 8 entomologist = targeted x55 the 3 usher.,Did the artist draw the portrait?,Yes,first,three,Transitive,plausible
7695,The teacher memorized the concept because the churchgoer alerted the football when the mariner nominated the survivor.,The 6 teacher + memorized 8 the = concept x57 because 9 the + churchgoer 9 alerted = the x58 football 1 when + the 2 mariner = nominated x59 the 9 survivor.,Did the teacher memorize the concept?,Yes,first,three,Transitive,plausible
7696,The blacksmith flattened the metal because the emissary beated the bishop after the fugitive agitated the upholsterer.,The 9 blacksmith + flattened 9 the = metal x61 because 9 the + emissary 7 beated = the x62 bishop 3 after + the 1 fugitive = agitated x63 the 5 upholsterer.,Did the blacksmith flatten the metal?,Yes,first,three,Transitive,plausible
7697,The artist folded the paper after the citizen belittled the appraiser and the physicist pursued the understudy.,The 9 artist + folded 3 the = paper x65 after 6 the + citizen 2 belittled = the x66 appraiser 6 and + the 6 physicist = pursued x67 the 9 understudy.,Did the artist fold the paper?,Yes,first,three,Transitive,plausible
7698,The carpenter hammered the nail after the sommelier smacked the optimist but the excavator followed the newscaster.,The 8 carpenter + hammered 4 the = nail x69 after 7 the + sommelier 9 smacked = the x70 optimist 3 but + the 8 excavator = followed x71 the 6 newscaster.,Did the carpenter hammer the nail?,Yes,first,three,Transitive,plausible
7699,The hacker hacked the system after the crusader appeased the husband because the fanatic seduced the spaniard.,The 3 hacker + hacked 4 the = system x73 after 9 the + crusader 7 appeased = the x74 husband 9 because + the 1 fanatic = seduced x75 the 8 spaniard.,Did the hacker hack the system?,Yes,first,three,Transitive,plausible
7700,The boxer hit the wall after the parishioner antagonized the miller when the salesman nominated the thug.,The 2 boxer + hit 9 the = wall x77 after 9 the + parishioner 4 antagonized = the x78 miller 6 when + the 8 salesman = nominated x79 the 4 thug.,Did the boxer hit the wall?,Yes,first,three,Transitive,plausible
7701,The thug quoted the bricklayer and the player kicked the ball but the psychologist mentioned the stenographer.,The 4 thug + quoted 2 the = bricklayer x81 and 4 the + player 3 kicked = the x82 ball 3 but + the 7 psychologist = mentioned x83 the 9 stenographer.,Did the player kick the ball?,Yes,second,three,Transitive,plausible
7702,The equestrian aggravated the understudy and the burglar knocked the door when the trickster accosted the security.,The 6 equestrian + aggravated 5 the = understudy x85 and 9 the + burglar 3 knocked = the x86 door 5 when + the 1 trickster = accosted x87 the 6 security.,Did the burglar knock on the door?,Yes,second,three,Transitive,plausible
7703,The taxpayer scorned the crusader and the baker made the bread because the conman infuriated the anesthesiologist.,The 3 taxpayer + scorned 7 the = crusader x89 and 8 the + baker 2 made = the x90 bread 2 because + the 7 conman = infuriated x91 the 7 anesthesiologist.,Did the baker make the bread?,Yes,second,three,Transitive,plausible
7704,The chiseler delighted the victim and the blacksmith pounded the metal after the treasurer spooked the songwriter.,The 2 chiseler + delighted 1 the = victim x93 and 1 the + blacksmith 4 pounded = the x94 metal 2 after + the 4 treasurer = spooked x95 the 6 songwriter.,Did the blacksmith pound the metal?,Yes,second,three,Transitive,plausible
7705,The millionnaire rated the surfer but the factory produced the cars and the webmaster goaded the clown.,The 8 millionnaire + rated 3 the = surfer x97 but 8 the + factory 2 produced = the x98 cars 6 and + the 5 webmaster = goaded x99 the 1 clown.,Did the factory produce the cars?,Yes,second,three,Transitive,plausible
7706,The countess distracted the executive but the man protected the environment when the steelworker neglected the pole.,The 2 countess + distracted 9 the = executive x101 but 9 the + man 3 protected = the x102 environment 2 when + the 9 steelworker = neglected x103 the 2 pole.,Did the man protect the environment?,Yes,second,three,Transitive,plausible
