ItemID,Context,sentence_with_equations,Question,Correct_answer,Target_sentence_position,Number_of_propositions,Condition,plausibility
7681,The mechanic assembled the engine and the envoy saluted the higher-ups but the scoundrel encountered the clarinetist.,The 5 mechanic + assembled 3 the = engine x7681 and 7 the + envoy 6 saluted = the x7682 higher-ups 3 but + the 1 scoundrel = encountered x7683 the 2 clarinetist.,Did the mechanic assemble the engine?,Yes,first,three,Transitive,plausible
7682,The tailor bent the wire and the entertainer quoted the residents when the forester insulted the messenger.,The 2 tailor + bent 4 the = wire x7685 and 7 the + entertainer 5 quoted = the x7686 residents 5 when + the 3 forester = insulted x7687 the 8 messenger.,Did the tailor bend the wire?,Yes,first,three,Transitive,plausible
7683,The child bit the apple and the zealot humiliated the bassist because the diva misinformed the newscaster.,The 6 child + bit 8 the = apple x7689 and 5 the + zealot 4 humiliated = the x7690 bassist 2 because + the 8 diva = misinformed x7691 the 1 newscaster.,Did the child bite the apple?,Yes,first,three,Transitive,plausible
7684,The chef blended the ingredients and the officer aggravated the foreman after the screenwriter fascinated the encroacher.,The 2 chef + blended 2 the = ingredients x7693 and 2 the + officer 2 aggravated = the x7694 foreman 3 after + the 8 screenwriter = fascinated x7695 the 3 encroacher.,Did the chef blend the ingredients?,Yes,first,three,Transitive,plausible
7685,The sculptor carved the statue but the umpire chastised the salesman and the flora exposed the athlete.,The 5 sculptor + carved 2 the = statue x7697 but 3 the + umpire 9 chastised = the x7698 salesman 6 and + the 8 flora = exposed x7699 the 6 athlete.,Did the sculptor carve the statue?,Yes,first,three,Transitive,plausible
7686,The chef chopped the vegetables but the commuter choked the delinquent when the innovator delighted the residents.,The 3 chef + chopped 9 the = vegetables x7701 but 7 the + commuter 9 choked = the x7702 delinquent 3 when + the 1 innovator = delighted x7703 the 7 residents.,Did the chef chop the vegetables?,Yes,first,three,Transitive,plausible
7687,The cleaner cleaned the floor but the organist spooked the columnist because the impostor defended the kleptomaniac.,The 1 cleaner + cleaned 9 the = floor x7705 but 6 the + organist 2 spooked = the x7706 columnist 3 because + the 3 impostor = defended x7707 the 1 kleptomaniac.,Did the cleaner clean the floor?,Yes,first,three,Transitive,plausible
7688,The collector collected the stamps but the churchgoer betraied the skater after the baroness dismissed the neurologist.,The 5 collector + collected 8 the = stamps x7709 but 1 the + churchgoer 1 betraied = the x7710 skater 6 after + the 8 baroness = dismissed x7711 the 6 neurologist.,Did the collector collect the stamps?,Yes,first,three,Transitive,plausible
7689,The butcher cut the meat when the shepherd teased the patrolman and the illustrator affronted the roadworker.,The 6 butcher + cut 1 the = meat x7713 when 4 the + shepherd 7 teased = the x7714 patrolman 2 and + the 1 illustrator = affronted x7715 the 3 roadworker.,Did the butcher cut the meat?,Yes,first,three,Transitive,plausible
7690,The writer described the landscape when the toolmaker singed the webmaster but the dean screamed the chiseler.,The 9 writer + described 4 the = landscape x7717 when 3 the + toolmaker 2 singed = the x7718 webmaster 2 but + the 5 dean = screamed x7719 the 7 chiseler.,Did the writer describe the landscape?,Yes,first,three,Transitive,plausible
7691,The crew destroyed the building when the monk applauded the executive because the consultant derided the waitress.,The 4 crew + destroyed 6 the = building x7721 when 4 the + monk 3 applauded = the x7722 executive 8 because + the 5 consultant = derided x7723 the 2 waitress.,Did the crew destroy the building?,Yes,first,three,Transitive,plausible
7692,The architect designed the house when the bassist scared the taxpayer after the shopper assuaged the bride.,The 9 architect + designed 9 the = house x7725 when 6 the + bassist 3 scared = the x7726 taxpayer 5 after + the 4 shopper = assuaged x7727 the 2 bride.,Did the architect design the house?,Yes,first,three,Transitive,plausible
7693,The student pushed the cart because the yodeler targeted the flutist and the neighbor distressed the arbitrator.,The 9 student + pushed 3 the = cart x7729 because 2 the + yodeler 3 targeted = the x7730 flutist 9 and + the 2 neighbor = distressed x7731 the 9 arbitrator.,Did the student push the cart?,Yes,first,three,Transitive,plausible
7694,The artist drew the portrait because the warlord disparaged the webmaster but the entomologist targeted the usher.,The 8 artist + drew 4 the = portrait x7733 because 2 the + warlord 6 disparaged = the x7734 webmaster 4 but + the 3 entomologist = targeted x7735 the 5 usher.,Did the artist draw the portrait?,Yes,first,three,Transitive,plausible
7695,The teacher memorized the concept because the churchgoer alerted the football when the mariner nominated the survivor.,The 6 teacher + memorized 4 the = concept x7737 because 2 the + churchgoer 8 alerted = the x7738 football 4 when + the 7 mariner = nominated x7739 the 7 survivor.,Did the teacher memorize the concept?,Yes,first,three,Transitive,plausible
